Protein,Model,HR_95CI,P,FDR,HR,lower,upper
SORCS2,Model 1,"2.03(1.79,2.31)",3.38E-27,4.56E-26,2.03,1.79,2.31
SORD,Model 1,"1.08(1.01,1.16)",0.034989733,0.061106471,1.08,1.01,1.16
SORT1,Model 1,"1.40(1.24,1.58)",1.01E-07,4.28E-07,1.4,1.24,1.58
SOST,Model 1,"1.01(0.89,1.14)",0.883218498,0.915512252,1.01,0.89,1.14
SOWAHA,Model 1,"1.02(0.91,1.14)",0.715709491,0.787507305,1.02,0.91,1.14
SOX2,Model 1,"1.22(0.97,1.53)",0.091597027,0.144321078,1.22,0.97,1.53
SOX9,Model 1,"1.49(1.21,1.84)",0.000190503,0.000526769,1.49,1.21,1.84
SPACA5_SPACA5B,Model 1,"1.09(0.91,1.30)",0.374660576,0.471149389,1.09,0.91,1.3
SPAG1,Model 1,"1.05(0.96,1.15)",0.294483144,0.38698955,1.05,0.96,1.15
SPARC,Model 1,"0.93(0.87,0.99)",0.021845572,0.040500997,0.93,0.87,0.99
SPARCL1,Model 1,"1.04(0.88,1.23)",0.639819548,0.723575942,1.04,0.88,1.23
SPART,Model 1,"1.04(0.97,1.12)",0.277078826,0.36859689,1.04,0.97,1.12
SPESP1,Model 1,"1.23(1.04,1.46)",0.016178842,0.030917683,1.23,1.04,1.46
SPINK1,Model 1,"1.63(1.47,1.80)",2.96E-22,3.33E-21,1.63,1.47,1.8
SPINK2,Model 1,"1.19(1.03,1.37)",0.021536968,0.040005055,1.19,1.03,1.37
SPINK4,Model 1,"1.24(1.16,1.33)",4.70E-10,2.48E-09,1.24,1.16,1.33
SPINK5,Model 1,"0.91(0.79,1.04)",0.17708458,0.252572185,0.91,0.79,1.04
SPINK6,Model 1,"1.13(1.04,1.24)",0.004878916,0.010565113,1.13,1.04,1.24
SPINK8,Model 1,"1.05(0.91,1.22)",0.48973009,0.586773352,1.05,0.91,1.22
SPINT1,Model 1,"2.43(2.09,2.83)",1.56E-30,2.56E-29,2.43,2.09,2.83
SPINT2,Model 1,"1.43(1.27,1.60)",2.60E-09,1.30E-08,1.43,1.27,1.6
SPINT3,Model 1,"0.94(0.91,0.98)",0.00111769,0.002717447,0.94,0.91,0.98
SPOCK1,Model 1,"0.64(0.53,0.77)",1.83E-06,6.58E-06,0.64,0.53,0.77
SPON1,Model 1,"1.62(1.42,1.85)",8.63E-13,5.60E-12,1.62,1.42,1.85
SPON2,Model 1,"1.80(1.58,2.04)",4.24E-19,3.98E-18,1.8,1.58,2.04
SPP1,Model 1,"1.50(1.36,1.66)",2.76E-15,2.11E-14,1.5,1.36,1.66
SPRED2,Model 1,"1.13(1.00,1.27)",0.056497065,0.093763582,1.13,1,1.27
SPRING1,Model 1,"1.10(1.01,1.20)",0.024684297,0.044992602,1.1,1.01,1.2
SPRR1B,Model 1,"1.02(0.95,1.08)",0.643306429,0.726113171,1.02,0.95,1.08
SPRR3,Model 1,"1.01(0.93,1.09)",0.860210834,0.896436701,1.01,0.93,1.09
SPRY2,Model 1,"1.06(1.01,1.12)",0.017236143,0.032745307,1.06,1.01,1.12
SPTBN2,Model 1,"1.38(1.19,1.59)",1.97E-05,6.36E-05,1.38,1.19,1.59
SPTLC1,Model 1,"1.23(1.08,1.39)",0.00120975,0.002933946,1.23,1.08,1.39
SRC,Model 1,"1.00(0.96,1.03)",0.802432353,0.855771538,1,0.96,1.03
SRP14,Model 1,"1.44(1.35,1.54)",3.05E-26,3.96E-25,1.44,1.35,1.54
SRPK2,Model 1,"1.12(1.06,1.18)",2.81E-05,8.90E-05,1.12,1.06,1.18
SRPX,Model 1,"1.32(1.13,1.54)",0.000475223,0.001236766,1.32,1.13,1.54
SSB,Model 1,"1.05(0.97,1.13)",0.217758927,0.301195979,1.05,0.97,1.13
SSBP1,Model 1,"1.03(0.88,1.21)",0.728049298,0.797114342,1.03,0.88,1.21
SSC4D,Model 1,"0.95(0.91,0.99)",0.017855843,0.033790707,0.95,0.91,0.99
SSC5D,Model 1,"1.07(0.96,1.20)",0.198383725,0.279036838,1.07,0.96,1.2
SSH3,Model 1,"0.88(0.72,1.07)",0.208172398,0.290843733,0.88,0.72,1.07
SSNA1,Model 1,"1.27(1.14,1.40)",5.18E-06,1.77E-05,1.27,1.14,1.4
ST13,Model 1,"1.14(1.03,1.25)",0.009746387,0.019708759,1.14,1.03,1.25
ST3GAL1,Model 1,"1.22(1.10,1.35)",0.000157854,0.000440663,1.22,1.1,1.35
ST6GAL1,Model 1,"1.68(1.48,1.92)",6.23E-15,4.66E-14,1.68,1.48,1.92
ST8SIA1,Model 1,"0.99(0.88,1.11)",0.838970717,0.88079274,0.99,0.88,1.11
STAB2,Model 1,"1.66(1.36,2.02)",4.20E-07,1.66E-06,1.66,1.36,2.02
STAM,Model 1,"1.08(0.94,1.25)",0.281490231,0.373614307,1.08,0.94,1.25
STAMBP,Model 1,"1.17(1.08,1.25)",3.34E-05,0.000104349,1.17,1.08,1.25
STAT2,Model 1,"1.16(1.08,1.25)",2.65E-05,8.42E-05,1.16,1.08,1.25
STAT5B,Model 1,"1.02(0.99,1.06)",0.182570348,0.259166464,1.02,0.99,1.06
STAU1,Model 1,"1.05(0.97,1.14)",0.225429988,0.309767324,1.05,0.97,1.14
STC1,Model 1,"2.30(2.12,2.50)",1.91E-87,2.07E-85,2.3,2.12,2.5
STC2,Model 1,"2.30(1.89,2.78)",3.44E-17,2.92E-16,2.3,1.89,2.78
STEAP4,Model 1,"0.92(0.85,1.00)",0.052393765,0.087522766,0.92,0.85,1
STIP1,Model 1,"1.16(1.08,1.24)",2.67E-05,8.46E-05,1.16,1.08,1.24
STK11,Model 1,"1.09(1.02,1.17)",0.007782223,0.016025451,1.09,1.02,1.17
STK24,Model 1,"1.09(1.01,1.17)",0.034401134,0.060222609,1.09,1.01,1.17
STK4,Model 1,"1.04(0.99,1.10)",0.125366755,0.188114556,1.04,0.99,1.1
STOML2,Model 1,"1.04(0.98,1.10)",0.212915684,0.29605419,1.04,0.98,1.1
STX16,Model 1,"1.05(0.97,1.14)",0.253565921,0.341361222,1.05,0.97,1.14
STX1B,Model 1,"0.96(0.84,1.11)",0.60309916,0.690336945,0.96,0.84,1.11
STX3,Model 1,"1.10(0.96,1.25)",0.173168008,0.247989497,1.1,0.96,1.25
STX4,Model 1,"1.10(1.03,1.19)",0.007259198,0.015088501,1.1,1.03,1.19
STX5,Model 1,"1.10(0.96,1.25)",0.166560554,0.239702719,1.1,0.96,1.25
STX6,Model 1,"1.12(1.05,1.19)",0.001011328,0.002477414,1.12,1.05,1.19
STX7,Model 1,"1.14(1.02,1.28)",0.022159658,0.040979227,1.14,1.02,1.28
STX8,Model 1,"1.25(1.14,1.37)",1.09E-06,4.08E-06,1.25,1.14,1.37
STXBP1,Model 1,"0.97(0.91,1.04)",0.434551997,0.532113139,0.97,0.91,1.04
STXBP3,Model 1,"1.04(0.93,1.16)",0.479923417,0.57764896,1.04,0.93,1.16
SUGP1,Model 1,"1.19(1.05,1.36)",0.007732843,0.015935004,1.19,1.05,1.36
SUGT1,Model 1,"1.12(1.05,1.19)",0.000285469,0.00076756,1.12,1.05,1.19
SULT1A1,Model 1,"1.02(0.98,1.06)",0.329574029,0.422642145,1.02,0.98,1.06
SULT2A1,Model 1,"1.17(1.09,1.27)",3.28E-05,0.000102542,1.17,1.09,1.27
SUMF1,Model 1,"1.03(0.95,1.12)",0.513624188,0.608431087,1.03,0.95,1.12
SUMF2,Model 1,"1.16(1.06,1.27)",0.001560254,0.003695006,1.16,1.06,1.27
SUOX,Model 1,"1.14(1.05,1.24)",0.001392787,0.003341774,1.14,1.05,1.24
SUSD1,Model 1,"1.04(0.94,1.15)",0.435344602,0.532777132,1.04,0.94,1.15
SUSD2,Model 1,"1.15(0.98,1.34)",0.085202441,0.135359699,1.15,0.98,1.34
SUSD4,Model 1,"1.25(1.11,1.41)",0.000347566,0.000921792,1.25,1.11,1.41
SUSD5,Model 1,"1.42(1.20,1.67)",3.07E-05,9.65E-05,1.42,1.2,1.67
SV2A,Model 1,"1.05(0.96,1.15)",0.283462715,0.375549514,1.05,0.96,1.15
SWAP70,Model 1,"1.98(1.82,2.15)",3.53E-56,1.69E-54,1.98,1.82,2.15
SYAP1,Model 1,"1.05(0.95,1.16)",0.327102048,0.421015488,1.05,0.95,1.16
SYNGAP1,Model 1,"0.90(0.81,1.00)",0.051713661,0.086634475,0.9,0.81,1
SYT1,Model 1,"1.07(0.94,1.22)",0.329158183,0.422642145,1.07,0.94,1.22
SYTL4,Model 1,"1.06(0.99,1.14)",0.107994879,0.165796554,1.06,0.99,1.14
TAB2,Model 1,"0.99(0.94,1.05)",0.793892478,0.848523439,0.99,0.94,1.05
TACC3,Model 1,"1.00(0.96,1.04)",0.961638463,0.971957187,1,0.96,1.04
TACSTD2,Model 1,"0.90(0.76,1.08)",0.255847977,0.343799398,0.9,0.76,1.08
TADA3,Model 1,"1.07(0.93,1.23)",0.363271476,0.459200308,1.07,0.93,1.23
TAFA5,Model 1,"1.65(1.45,1.86)",3.00E-15,2.28E-14,1.65,1.45,1.86
TAGLN3,Model 1,"1.01(0.92,1.11)",0.809754951,0.861378673,1.01,0.92,1.11
TALDO1,Model 1,"1.41(1.26,1.58)",3.32E-09,1.64E-08,1.41,1.26,1.58
TANK,Model 1,"1.18(1.11,1.27)",6.42E-07,2.47E-06,1.18,1.11,1.27
TAP1,Model 1,"0.99(0.90,1.09)",0.878527629,0.912092479,0.99,0.9,1.09
TARBP2,Model 1,"1.09(1.03,1.15)",0.005539058,0.011818999,1.09,1.03,1.15
TARM1,Model 1,"0.93(0.86,1.01)",0.08410561,0.1342013,0.93,0.86,1.01
TARS1,Model 1,"1.12(0.98,1.30)",0.102482751,0.158906566,1.12,0.98,1.3
TAX1BP1,Model 1,"1.25(1.16,1.36)",3.18E-08,1.42E-07,1.25,1.16,1.36
TBC1D17,Model 1,"1.18(1.07,1.30)",0.00098934,0.002435812,1.18,1.07,1.3
TBC1D23,Model 1,"1.01(0.96,1.06)",0.715768626,0.787507305,1.01,0.96,1.06
TBC1D5,Model 1,"1.07(1.01,1.14)",0.013514591,0.02648497,1.07,1.01,1.14
TBCA,Model 1,"1.14(1.07,1.22)",7.05E-05,0.00020978,1.14,1.07,1.22
TBCB,Model 1,"1.07(1.02,1.12)",0.006316428,0.013316946,1.07,1.02,1.12
TBCC,Model 1,"1.06(1.00,1.12)",0.059750218,0.098515323,1.06,1,1.12
TBL1X,Model 1,"1.04(0.98,1.10)",0.208015096,0.290843733,1.04,0.98,1.1
TBR1,Model 1,"0.98(0.87,1.10)",0.712863674,0.78576043,0.98,0.87,1.1
TCL1A,Model 1,"1.19(1.13,1.25)",4.39E-13,2.89E-12,1.19,1.13,1.25
TCL1B,Model 1,"1.00(0.94,1.06)",0.958100431,0.969668381,1,0.94,1.06
TCN1,Model 1,"1.31(1.13,1.52)",0.000373595,0.000986346,1.31,1.13,1.52
TCN2,Model 1,"1.51(1.32,1.74)",3.64E-09,1.79E-08,1.51,1.32,1.74
TCOF1,Model 1,"2.27(2.07,2.49)",7.32E-66,4.45E-64,2.27,2.07,2.49
TCP11,Model 1,"1.03(0.94,1.13)",0.566989142,0.658293557,1.03,0.94,1.13
TCTN3,Model 1,"1.16(0.96,1.39)",0.115616147,0.175194161,1.16,0.96,1.39
TDGF1,Model 1,"1.05(1.02,1.08)",0.003911128,0.00863227,1.05,1.02,1.08
TDO2,Model 1,"1.00(0.86,1.16)",0.999065452,0.999182167,1,0.86,1.16
TDP1,Model 1,"1.24(1.16,1.31)",1.33E-11,7.88E-11,1.24,1.16,1.31
TDRKH,Model 1,"1.14(1.08,1.20)",2.34E-06,8.32E-06,1.14,1.08,1.2
TEF,Model 1,"1.15(1.02,1.30)",0.024801603,0.04515005,1.15,1.02,1.3
TEK,Model 1,"1.88(1.52,2.32)",3.94E-09,1.93E-08,1.88,1.52,2.32
TERF1,Model 1,"1.21(1.01,1.45)",0.042901988,0.073259536,1.21,1.01,1.45
TET2,Model 1,"1.04(0.98,1.10)",0.161358873,0.234177031,1.04,0.98,1.1
TEX101,Model 1,"0.80(0.72,0.90)",0.000105639,0.000304206,0.8,0.72,0.9
TEX33,Model 1,"0.92(0.79,1.07)",0.272157238,0.362710696,0.92,0.79,1.07
TF,Model 1,"0.56(0.43,0.71)",4.52E-06,1.56E-05,0.56,0.43,0.71
TFAP2A,Model 1,"1.08(0.99,1.18)",0.085758841,0.136108764,1.08,0.99,1.18
TFF1,Model 1,"1.18(1.12,1.25)",7.03E-10,3.66E-09,1.18,1.12,1.25
TFF2,Model 1,"1.32(1.23,1.43)",1.08E-13,7.41E-13,1.32,1.23,1.43
TFF3,Model 1,"1.46(1.35,1.59)",7.90E-19,7.23E-18,1.46,1.35,1.59
TFPI,Model 1,"0.99(0.86,1.16)",0.946839138,0.962663747,0.99,0.86,1.16
TFPI2,Model 1,"1.48(1.37,1.60)",1.83E-23,2.17E-22,1.48,1.37,1.6
TFRC,Model 1,"1.54(1.37,1.72)",2.72E-13,1.82E-12,1.54,1.37,1.72
TG,Model 1,"1.03(0.98,1.08)",0.305934514,0.398451731,1.03,0.98,1.08
TGFA,Model 1,"1.55(1.41,1.69)",2.42E-21,2.59E-20,1.55,1.41,1.69
TGFB1,Model 1,"1.66(1.49,1.85)",2.44E-20,2.47E-19,1.66,1.49,1.85
TGFB2,Model 1,"1.04(0.94,1.16)",0.400855212,0.497660382,1.04,0.94,1.16
TGFBI,Model 1,"1.36(1.15,1.62)",0.000470154,0.001224666,1.36,1.15,1.62
TGFBR1,Model 1,"1.60(1.30,1.97)",1.18E-05,3.91E-05,1.6,1.3,1.97
TGFBR2,Model 1,"2.21(1.97,2.48)",2.35E-40,5.72E-39,2.21,1.97,2.48
TGFBR3,Model 1,"1.61(1.38,1.88)",8.86E-10,4.57E-09,1.61,1.38,1.88
TGM2,Model 1,"1.11(1.04,1.17)",0.001322814,0.00318435,1.11,1.04,1.17
TGOLN2,Model 1,"2.22(1.83,2.70)",1.51E-15,1.18E-14,2.22,1.83,2.7
THAP12,Model 1,"1.07(1.00,1.13)",0.038807715,0.067236615,1.07,1,1.13
THBD,Model 1,"2.33(2.06,2.63)",5.56E-42,1.49E-40,2.33,2.06,2.63
THBS2,Model 1,"1.34(1.20,1.51)",8.10E-07,3.09E-06,1.34,1.2,1.51
THBS4,Model 1,"1.13(1.02,1.25)",0.024300491,0.044431705,1.13,1.02,1.25
THOP1,Model 1,"1.82(1.59,2.09)",2.63E-18,2.33E-17,1.82,1.59,2.09
THPO,Model 1,"1.19(1.05,1.35)",0.005191882,0.011155479,1.19,1.05,1.35
THRAP3,Model 1,"1.02(0.97,1.07)",0.360781303,0.45626713,1.02,0.97,1.07
THSD1,Model 1,"0.90(0.76,1.06)",0.213261261,0.29625256,0.9,0.76,1.06
THTPA,Model 1,"1.07(1.00,1.14)",0.039948831,0.068942426,1.07,1,1.14
THY1,Model 1,"2.38(2.05,2.77)",2.97E-29,4.52E-28,2.38,2.05,2.77
TIA1,Model 1,"1.05(1.01,1.09)",0.016778748,0.031938686,1.05,1.01,1.09
TIE1,Model 1,"1.35(1.19,1.53)",2.92E-06,1.03E-05,1.35,1.19,1.53
TIGAR,Model 1,"1.51(1.38,1.64)",1.50E-20,1.53E-19,1.51,1.38,1.64
TIGIT,Model 1,"1.57(1.44,1.71)",1.53E-23,1.82E-22,1.57,1.44,1.71
TIMD4,Model 1,"1.81(1.63,2.00)",4.16E-30,6.64E-29,1.81,1.63,2
TIMM10,Model 1,"1.24(1.09,1.42)",0.001077655,0.002626673,1.24,1.09,1.42
TIMM8A,Model 1,"1.06(0.99,1.13)",0.089964727,0.142152058,1.06,0.99,1.13
TIMP1,Model 1,"2.38(2.08,2.71)",1.24E-37,2.69E-36,2.38,2.08,2.71
TIMP2,Model 1,"1.26(1.08,1.47)",0.003581163,0.007958141,1.26,1.08,1.47
TIMP3,Model 1,"1.05(1.01,1.09)",0.007498365,0.01552853,1.05,1.01,1.09
TIMP4,Model 1,"1.04(0.93,1.17)",0.512252737,0.607949931,1.04,0.93,1.17
TINAGL1,Model 1,"2.23(1.82,2.75)",2.38E-14,1.70E-13,2.23,1.82,2.75
TJAP1,Model 1,"1.03(0.98,1.09)",0.227717124,0.312029095,1.03,0.98,1.09
TJP3,Model 1,"1.00(0.88,1.14)",0.996846273,0.998213689,1,0.88,1.14
TK1,Model 1,"1.43(1.30,1.58)",2.98E-13,1.98E-12,1.43,1.3,1.58
TLR1,Model 1,"1.70(1.40,2.07)",6.93E-08,2.99E-07,1.7,1.4,2.07
TLR2,Model 1,"1.40(1.10,1.77)",0.005809007,0.012318301,1.4,1.1,1.77
TLR3,Model 1,"1.09(1.00,1.17)",0.039611173,0.068400134,1.09,1,1.17
TLR4,Model 1,"1.18(0.97,1.43)",0.097593426,0.152066598,1.18,0.97,1.43
TMCO5A,Model 1,"1.03(0.93,1.14)",0.548192484,0.641829211,1.03,0.93,1.14
TMED1,Model 1,"1.00(0.90,1.11)",0.985697802,0.990446519,1,0.9,1.11
TMED10,Model 1,"0.95(0.84,1.08)",0.446325829,0.543552332,0.95,0.84,1.08
TMED4,Model 1,"0.93(0.84,1.03)",0.180194559,0.256167533,0.93,0.84,1.03
TMED8,Model 1,"1.02(0.97,1.08)",0.456952087,0.55273409,1.02,0.97,1.08
TMEM106A,Model 1,"1.11(1.03,1.19)",0.006837847,0.01430266,1.11,1.03,1.19
TMEM132A,Model 1,"0.91(0.83,1.00)",0.04273154,0.073011174,0.91,0.83,1
TMEM25,Model 1,"1.17(1.05,1.31)",0.003539127,0.007876717,1.17,1.05,1.31
TMOD4,Model 1,"1.18(1.03,1.35)",0.018216858,0.034429272,1.18,1.03,1.35
TMPRSS11B,Model 1,"0.92(0.85,1.00)",0.047647199,0.080468375,0.92,0.85,1
TMPRSS11D,Model 1,"1.01(0.87,1.16)",0.933708197,0.954966002,1.01,0.87,1.16
TMPRSS15,Model 1,"0.98(0.93,1.03)",0.407767356,0.504953639,0.98,0.93,1.03
TMPRSS5,Model 1,"1.05(0.92,1.19)",0.469890195,0.567146591,1.05,0.92,1.19
TMSB10,Model 1,"1.29(1.22,1.38)",6.82E-17,5.70E-16,1.29,1.22,1.38
TNC,Model 1,"1.47(1.33,1.61)",1.93E-15,1.50E-14,1.47,1.33,1.61
TNF,Model 1,"1.68(1.57,1.79)",8.01E-53,3.20E-51,1.68,1.57,1.79
TNFAIP2,Model 1,"1.26(1.13,1.39)",1.20E-05,3.96E-05,1.26,1.13,1.39
TNFAIP8,Model 1,"1.09(0.95,1.24)",0.20839268,0.290885677,1.09,0.95,1.24
TNFAIP8L2,Model 1,"0.94(0.86,1.02)",0.146741928,0.21500404,0.94,0.86,1.02
TNFRSF10A,Model 1,"2.22(2.04,2.41)",1.08E-75,8.76E-74,2.22,2.04,2.41
TNFRSF10B,Model 1,"1.43(1.37,1.50)",3.38E-49,1.15E-47,1.43,1.37,1.5
TNFRSF10C,Model 1,"1.09(0.99,1.20)",0.08939137,0.141324915,1.09,0.99,1.2
TNFRSF11A,Model 1,"1.89(1.70,2.10)",2.64E-31,4.48E-30,1.89,1.7,2.1
TNFRSF11B,Model 1,"1.43(1.22,1.67)",6.75E-06,2.29E-05,1.43,1.22,1.67
TNFRSF12A,Model 1,"1.76(1.55,1.99)",1.74E-19,1.67E-18,1.76,1.55,1.99
TNFRSF13B,Model 1,"2.86(2.70,3.03)",6.61E-278,6.44E-275,2.86,2.7,3.03
TNFRSF13C,Model 1,"2.40(2.23,2.58)",2.39E-118,4.65E-116,2.4,2.23,2.58
TNFRSF14,Model 1,"2.59(2.27,2.95)",8.58E-46,2.56E-44,2.59,2.27,2.95
TNFRSF17,Model 1,"2.74(2.43,3.09)",7.15E-61,3.94E-59,2.74,2.43,3.09
TNFRSF19,Model 1,"2.34(2.06,2.64)",1.10E-40,2.72E-39,2.34,2.06,2.64
TNFRSF1A,Model 1,"2.93(2.58,3.32)",1.06E-62,6.09E-61,2.93,2.58,3.32
TNFRSF1B,Model 1,"1.84(1.74,1.95)",4.45E-100,5.65E-98,1.84,1.74,1.95
TNFRSF21,Model 1,"2.19(1.87,2.57)",8.01E-22,8.79E-21,2.19,1.87,2.57
TNFRSF4,Model 1,"3.22(2.95,3.51)",8.30E-150,3.03E-147,3.22,2.95,3.51
TNFRSF6B,Model 1,"1.59(1.49,1.70)",1.67E-41,4.31E-40,1.59,1.49,1.7
TNFRSF8,Model 1,"2.15(1.99,2.33)",1.15E-81,1.05E-79,2.15,1.99,2.33
TNFRSF9,Model 1,"2.78(2.64,2.93)",0,0,2.78,2.64,2.93
TNFSF10,Model 1,"1.29(1.08,1.55)",0.005755,0.012212646,1.29,1.08,1.55
TNFSF11,Model 1,"1.07(0.99,1.16)",0.074553894,0.120208377,1.07,0.99,1.16
TNFSF12,Model 1,"0.91(0.77,1.07)",0.239761118,0.326692704,0.91,0.77,1.07
TNFSF13,Model 1,"1.05(0.88,1.25)",0.560496511,0.652831995,1.05,0.88,1.25
TNFSF13B,Model 1,"1.37(1.16,1.60)",0.000136126,0.000383676,1.37,1.16,1.6
TNFSF14,Model 1,"1.11(1.03,1.20)",0.009608426,0.019469774,1.11,1.03,1.2
TNFSF8,Model 1,"2.25(1.99,2.55)",2.35E-37,5.05E-36,2.25,1.99,2.55
TNIP1,Model 1,"1.08(1.01,1.14)",0.015268202,0.029386132,1.08,1.01,1.14
TNN,Model 1,"1.03(0.91,1.17)",0.600848149,0.689428169,1.03,0.91,1.17
TNNI3,Model 1,"1.00(0.94,1.06)",0.974623741,0.982022541,1,0.94,1.06
TNPO1,Model 1,"1.01(0.86,1.18)",0.945698421,0.961838868,1.01,0.86,1.18
TNR,Model 1,"0.79(0.71,0.88)",2.63E-05,8.37E-05,0.79,0.71,0.88
TNXB,Model 1,"0.75(0.62,0.90)",0.001983908,0.004634409,0.75,0.62,0.9
TOMM20,Model 1,"1.18(1.10,1.26)",2.16E-06,7.73E-06,1.18,1.1,1.26
TOP1,Model 1,"0.93(0.89,0.98)",0.005633242,0.011989116,0.93,0.89,0.98
TOP1MT,Model 1,"0.87(0.77,0.99)",0.037369075,0.064912374,0.87,0.77,0.99
TOP2B,Model 1,"1.25(1.17,1.34)",2.95E-11,1.71E-10,1.25,1.17,1.34
TOR1AIP1,Model 1,"1.27(1.16,1.38)",1.13E-07,4.77E-07,1.27,1.16,1.38
TP53,Model 1,"1.33(1.19,1.47)",1.31E-07,5.47E-07,1.33,1.19,1.47
TP53BP1,Model 1,"1.17(1.10,1.24)",1.06E-06,3.96E-06,1.17,1.1,1.24
TP53I3,Model 1,"1.32(1.19,1.47)",1.10E-07,4.65E-07,1.32,1.19,1.47
TP53INP1,Model 1,"1.07(0.92,1.24)",0.392606678,0.489292147,1.07,0.92,1.24
TP73,Model 1,"1.02(0.86,1.20)",0.833738083,0.878252238,1.02,0.86,1.2
TPBGL,Model 1,"0.98(0.86,1.13)",0.802962029,0.856023777,0.98,0.86,1.13
TPD52L2,Model 1,"0.99(0.94,1.05)",0.807180232,0.85957924,0.99,0.94,1.05
TPK1,Model 1,"2.53(2.09,3.06)",9.42E-22,1.03E-20,2.53,2.09,3.06
TPM3,Model 1,"1.04(0.92,1.18)",0.513009804,0.607949931,1.04,0.92,1.18
TPMT,Model 1,"1.06(0.99,1.13)",0.0958151,0.14993574,1.06,0.99,1.13
TPP1,Model 1,"1.40(1.28,1.53)",9.02E-14,6.24E-13,1.4,1.28,1.53
TPPP2,Model 1,"0.97(0.90,1.04)",0.374334563,0.470942234,0.97,0.9,1.04
TPPP3,Model 1,"1.00(0.89,1.13)",0.997912516,0.998596486,1,0.89,1.13
TPR,Model 1,"1.43(1.33,1.54)",7.00E-23,8.02E-22,1.43,1.33,1.54
TPRKB,Model 1,"1.02(0.94,1.11)",0.589821865,0.679668447,1.02,0.94,1.11
TPSAB1,Model 1,"1.08(0.99,1.19)",0.076871663,0.123468237,1.08,0.99,1.19
TPSD1,Model 1,"1.06(0.92,1.22)",0.427964514,0.525728389,1.06,0.92,1.22
TPSG1,Model 1,"0.98(0.79,1.21)",0.851909151,0.890622204,0.98,0.79,1.21
TPT1,Model 1,"0.94(0.87,1.02)",0.11292862,0.17174561,0.94,0.87,1.02
TRAF2,Model 1,"1.09(1.02,1.16)",0.009216974,0.018742037,1.09,1.02,1.16
TRAF3,Model 1,"1.30(1.15,1.47)",4.32E-05,0.000131971,1.3,1.15,1.47
TRAF3IP2,Model 1,"1.04(0.93,1.16)",0.512046194,0.607949931,1.04,0.93,1.16
TRDMT1,Model 1,"1.08(1.02,1.15)",0.010905144,0.02179536,1.08,1.02,1.15
TREH,Model 1,"0.93(0.87,1.00)",0.056160397,0.093281206,0.93,0.87,1
TREM2,Model 1,"1.36(1.25,1.48)",1.50E-12,9.59E-12,1.36,1.25,1.48
TREML1,Model 1,"1.01(0.91,1.12)",0.844390112,0.885064265,1.01,0.91,1.12
TREML2,Model 1,"2.59(2.29,2.92)",1.88E-51,6.86E-50,2.59,2.29,2.92
TRIAP1,Model 1,"1.24(1.15,1.33)",5.91E-09,2.83E-08,1.24,1.15,1.33
TRIM21,Model 1,"1.03(0.97,1.09)",0.407687582,0.504953639,1.03,0.97,1.09
TRIM24,Model 1,"1.19(1.10,1.29)",1.49E-05,4.86E-05,1.19,1.1,1.29
TRIM25,Model 1,"1.04(0.99,1.09)",0.117385416,0.177231341,1.04,0.99,1.09
TRIM26,Model 1,"1.03(0.93,1.13)",0.576613593,0.66680937,1.03,0.93,1.13
TRIM40,Model 1,"0.94(0.87,1.01)",0.108142859,0.165936494,0.94,0.87,1.01
TRIM5,Model 1,"1.06(1.00,1.12)",0.032348975,0.057247883,1.06,1,1.12
TRIM58,Model 1,"1.13(1.07,1.21)",7.30E-05,0.000216272,1.13,1.07,1.21
TRPV3,Model 1,"0.94(0.84,1.06)",0.320335056,0.413701178,0.94,0.84,1.06
TSC1,Model 1,"1.01(0.94,1.09)",0.74229854,0.807266941,1.01,0.94,1.09
TSC22D1,Model 1,"1.10(1.02,1.19)",0.020032883,0.037642225,1.1,1.02,1.19
TSHB,Model 1,"0.99(0.93,1.05)",0.758083311,0.820460811,0.99,0.93,1.05
TSLP,Model 1,"1.04(0.97,1.13)",0.265638588,0.354764666,1.04,0.97,1.13
TSNAX,Model 1,"1.21(1.06,1.39)",0.00531677,0.011415418,1.21,1.06,1.39
TSPAN1,Model 1,"1.03(0.96,1.11)",0.401368505,0.498085863,1.03,0.96,1.11
TSPAN15,Model 1,"1.03(0.93,1.15)",0.540790505,0.635967891,1.03,0.93,1.15
TSPAN7,Model 1,"0.98(0.92,1.04)",0.454803967,0.550859317,0.98,0.92,1.04
TSPAN8,Model 1,"1.03(0.98,1.09)",0.263615247,0.352937423,1.03,0.98,1.09
TSPYL1,Model 1,"1.29(1.13,1.47)",0.000118283,0.000338614,1.29,1.13,1.47
TST,Model 1,"1.13(1.06,1.20)",0.00020372,0.000559608,1.13,1.06,1.2
TTF2,Model 1,"1.12(1.00,1.25)",0.045476608,0.077159614,1.12,1,1.25
TTN,Model 1,"1.08(1.00,1.16)",0.056596484,0.093845391,1.08,1,1.16
TTR,Model 1,"0.70(0.56,0.87)",0.001243619,0.003006098,0.7,0.56,0.87
TUBB3,Model 1,"1.59(1.33,1.89)",3.46E-07,1.37E-06,1.59,1.33,1.89
TWF2,Model 1,"1.04(0.98,1.11)",0.217678669,0.301195979,1.04,0.98,1.11
TXK,Model 1,"1.00(0.93,1.07)",0.967183054,0.975872328,1,0.93,1.07
TXLNA,Model 1,"1.14(1.08,1.20)",9.97E-07,3.75E-06,1.14,1.08,1.2
